id,university names,country code,location
1,New York University,USA,New York
2,Princeton University,USA,New Jersey
3,Stanford University,USA,California
4,"University of Wisconsin, Madison",USA,Wisconsin
5,Cornell University,USA,New York
6,Carnegie Mellon University,USA,Pennsylvania
7,Massachusetts Institute of Technology,USA,Massachusetts
8,University of North Carolina at Chapel Hill,USA,North Carolina
9,University of Texas at Austin,USA,Texas
10,"University of California, San Diego",USA,California
11,University of Washington,USA,Washington
12,"Binghamton University, State University of New York",USA,New York
13,"University of California, Los Angeles",USA,California
14,Columbia University,USA,New York
15,Rice University,USA,Texas
16,Johns Hopkins University,USA,Maryland
17,"University of California, Riverside",USA,California
18,"University of Michigan, Ann Arbor",USA,Michigan
19,University of Southern California,USA,California
20,University of Chicago,USA,Illinois
21,University of Massachusetts,USA,Massachusetts
22,Harvard University,USA,Massachusetts
23,California Institute of Technology,USA,California
24,Brown University,USA,Rhode Island
25,West Virginia University,USA,West Virginia
26,University of Illinois at Urbana-Champaign,USA,Illinois
27,Washington State University,USA,Washington
28,"University of Maryland, College Park",USA,Maryland
29,"University of California, Santa Barbara",USA,California
30,Yale University,USA,Connecticut
31,New Jersey Institute of Technology,USA,New Jersey
32,University of Virginia,USA,Virginia
33,Georgia Institute of Technology,USA,Georgia
34,Michigan State University,USA,Michigan
35,University of Pennsylvania,USA,Pennsylvania
36,"University of California, Irvine",USA,California
37,Stony Brook University,USA,New York
38,Temple University,USA,Pennsylvania
39,Arizona State University,USA,Arizona
40,Boston University,USA,Massachusetts
41,"Rutgers, the State University of New Jersey",USA,New Jersey
42,University of Texas at San Antonio,USA,Texas
43,University of Minnesota Twin Cities,USA,Minnesota
44,"Northeastern University, Boston, MA",USA,Massachusetts
45,University of Rochester,USA,New York
46,University at Buffalo,USA,New York
47,Lehigh University,USA,Pennsylvania
48,Duke University,USA,North Carolina
49,Ohio State University,USA,Ohio
50,Stevens Institute of Technology,USA,New Jersey
51,"University of California, Santa Cruz",USA,California
52,Washington University in St Louis,USA,Missouri
53,Pennsylvania State University,USA,Pennsylvania
54,Virginia Polytechnic Institute and State University,USA,Virginia
55,Georgia State University,USA,Georgia
56,University of Colorado Boulder,USA,Colorado
57,Dartmouth College,USA,New Hampshire
58,Old Dominion University,USA,Virginia
59,University of Pittsburgh-Pittsburgh campus,USA,Pennsylvania
60,Florida International University,USA,Florida
61,University of Utah,USA,Utah
62,Wayne State University,USA,Michigan
63,University of Notre Dame,USA,Indiana
64,Vanderbilt University,USA,Tennessee
65,North Carolina State University,USA,North Carolina
66,University of Illinois at Chicago,USA,Illinois
67,University of Texas at Dallas,USA,Texas
68,Syracuse University,USA,New York
69,University of Florida,USA,Florida
70,Worcester Polytechnic Institute,USA,Massachusetts
71,Missouri University of Science and Technology,USA,Missouri
72,Indiana University,USA,Indiana
73,State University of New York Albany,USA,New York
74,University of Arizona,USA,Arizona
75,University of Nebraska-Lincoln,USA,Nebraska
76,University of Delaware,USA,Delaware
77,Florida Atlantic University,USA,Florida
78,George Washington University,USA,District of Columbia
79,Oklahoma State University,USA,Oklahoma
80,University of Alabama,USA,Alabama
81,University of Texas at Arlington,USA,Texas
82,University of Houston,USA,Texas
83,"University of Maryland, Baltimore County",USA,Maryland
84,University of Arkansas,USA,Arkansas
85,Florida State University,USA,Florida
86,Texas A&M University,USA,Texas
87,University of Georgia,USA,Georgia
88,University of Hawai’i at Mānoa,USA,Hawaii
89,San Diego State University,USA,California
90,Rensselaer Polytechnic Institute,USA,New York
91,Colorado State University,USA,Colorado
92,University of Kentucky,USA,Kentucky
93,University of Connecticut,USA,Connecticut
94,Iowa State University,USA,Iowa
95,University of South Florida,USA,Florida
96,University of Central Florida,USA,Florida
97,Mississippi State University,USA,Mississippi
98,George Mason University,USA,Virginia
99,"University of Wisconsin, Milwaukee",USA,Wisconsin
100,Tufts University,USA,Massachusetts
101,University of Cincinnati,USA,Ohio
102,Oregon State University,USA,Oregon
103,Texas Tech University,USA,Texas
104,"University of Nevada, Las Vegas",USA,Nevada
105,Louisiana State University,USA,Louisiana
106,Drexel University,USA,Pennsylvania
107,Rochester Institute of Technology,USA,New York
108,Portland State University,USA,Oregon
109,University of Dayton,USA,Ohio
110,New Mexico State University,USA,New Mexico
111,University of Texas at El Paso,USA,Texas
112,University of Oxford,GBR,England
113,Lancaster University,GBR,England
114,Middlesex University,GBR,England
115,University of Edinburgh,GBR,Scotland
116,Imperial College London,GBR,England
117,University of Cambridge,GBR,England
118,Queen’s University Belfast,GBR,Northern Ireland
119,UCL,GBR,England
120,Queen Mary University of London,GBR,England
121,King's College London,GBR,England
122,Durham University,GBR,England
123,University of Bristol,GBR,England
124,Northumbria University,GBR,England
125,De Montfort University,GBR,England
126,University of Exeter,GBR,England
127,Swansea University,GBR,Wales
128,University of Southampton,GBR,England
129,University of Essex,GBR,England
130,University of Surrey,GBR,England
131,"Royal Holloway, University of London",GBR,England
132,University of Birmingham,GBR,England
133,University of Leicester,GBR,England
134,Brunel University London,GBR,England
135,Newcastle University,GBR,England
136,University of Glasgow,GBR,Scotland
137,University of Liverpool,GBR,England
138,University of Warwick,GBR,England
139,Cardiff University,GBR,Wales
140,University of Plymouth,GBR,England
141,University of Nottingham,GBR,England
142,Aston University,GBR,England
143,University of Manchester,GBR,England
144,University of Sussex,GBR,England
145,Heriot-Watt University,GBR,Scotland
146,The Open University,GBR,England
147,University of Kent,GBR,England
148,University of Aberdeen,GBR,Scotland
149,Liverpool John Moores University,GBR,England
150,University of St Andrews,GBR,Scotland
151,University of Huddersfield,GBR,England
152,University of Strathclyde,GBR,Scotland
153,"City, University of London",GBR,England
154,University of Leeds,GBR,England
155,University of York,GBR,England
156,Coventry University,GBR,England
157,Loughborough University,GBR,England
158,University of Bath,GBR,England
159,Bournemouth University,GBR,England
160,University of Portsmouth,GBR,England
161,Ulster University,GBR,Northern Ireland
162,University of the West of England,GBR,England
163,University of Reading,GBR,England
164,University of Bradford,GBR,England
165,United Arab Emirates University,ARE,Abu Dhabi
166,Lviv Polytechnic National University,UKR,L'vivs'ka oblast
167,Sabancı University,TUR,İstanbul
168,Boğaziçi University,TUR,İstanbul
169,Istanbul Technical University,TUR,İstanbul
170,Bilkent University,TUR,Ankara
171,Middle East Technical University,TUR,Ankara
172,University of Sfax,TUN,Sfax
173,University of Monastir,TUN,Monastir
174,University of Tunis El Manar,TUN,Tunis
175,Mahidol University,THA,Chang Wat Nakhon Pathom
176,Chiang Mai University,THA,Chang Wat Chiang Mai
177,King Mongkut's University of Technology North Bangkok,THA,Krung Thep Maha Nakhon
178,Kasetsart University,THA,Krung Thep Maha Nakhon
179,Thammasat University,THA,Krung Thep Maha Nakhon
180,King Mongkut’s University of Technology Thonburi,THA,Krung Thep Maha Nakhon
181,King Mongkut’s Institute of Technology Ladkrabang,THA,Krung Thep Maha Nakhon
182,Chulalongkorn University,THA,Krung Thep Maha Nakhon
183,National Taiwan University of Science and Technology (Taiwan Tech),TWN,Taipei City
184,National Dong Hwa University,TWN,Taipei City
185,National Sun Yat-sen University,TWN,Kaohsiung City
186,National Tsing Hua University,TWN,Kaohsiung City
187,National Taiwan University,TWN,Taipei City
188,National Taiwan Normal University,TWN,Taipei City
189,National Chiao Tung University,TWN,Taipei City
190,National Cheng Kung University (NCKU),TWN,Tainan City
191,National Chung Cheng University,TWN,Tainan City
192,Chang Gung University,TWN,Taoyuan City
193,Feng Chia University,TWN,Taichung City
194,National Taiwan Ocean University,TWN,Taichung City
195,Yuan Ze University,TWN,Taoyuan City
196,National Central University,TWN,Taoyuan City
197,"Asia University, Taiwan",TWN,Taichung City
198,National University of Kaohsiung,TWN,Kaohsiung City
199,Chung Yuan Christian University,TWN,Taoyuan City
200,National Chung Hsing University,TWN,Taichung City
201,National Chengchi University,TWN,Taipei City
202,Chaoyang University of Technology,TWN,Taichung City
203,Tamkang University,TWN,New Taipei City
204,ETH Zurich,CHE,Zürich
205,University of Zurich,CHE,Zürich
206,École Polytechnique Fédérale de Lausanne,CHE,Vaud
207,University of Geneva,CHE,Geneva
208,University of Bern,CHE,Bern
209,Linköping University,SWE,Östergötlands län
210,KTH Royal Institute of Technology,SWE,Stockholms län
211,Stockholm University,SWE,Stockholms län
212,Chalmers University of Technology,SWE,Västra Götalands län
213,Uppsala University,SWE,Uppsala County
214,Umeå University,SWE,Västerbottens län
215,University of Gothenburg,SWE,Västra Götaland County
216,University of Jaén,ESP,Andalucía
217,Open University of Catalonia,ESP,Catalunya
218,University of Granada,ESP,Andalucía
219,University of Seville,ESP,Sevilla
220,Polytechnic University of Catalonia,ESP,Cataluña
221,University of Rovira i Virgili,ESP,Catalunya
222,Autonomous University of Barcelona,ESP,Catalunya
223,Universidad Carlos III de Madrid,ESP,Comunidad de Madrid
224,University of Murcia,ESP,Región de Murcia
225,University of Vigo,ESP,Galicia
226,Autonomous University of Madrid,ESP,Comunidad de Madrid
227,Polytechnic University of Valencia,ESP,Comunidad Valenciana
228,University of Alcalá,ESP,Comunidad de Madrid
229,University of the Basque Country,ESP,Euskadi
230,University of Oviedo,ESP,Principado de Asturias
231,University of A Coruña,ESP,Galicia
232,Technical University of Madrid,ESP,Community of Madrid
233,University of Salamanca,ESP,Castile and León
234,Jaume I University,ESP,Comunidad Valenciana
235,University of Castilla-La Mancha,ESP,Ciudad Real
236,University of Valencia,ESP,Comunidad Valenciana
237,University of Alicante,ESP,Comunidad Valenciana
238,University of Santiago de Compostela,ESP,Galicia
239,University Rey Juan Carlos,ESP,Comunidad de Madrid
240,Complutense University of Madrid,ESP,Comunidad de Madrid
241,Yeungnam University,KOR,Gyeongsangbuk-do
242,Sejong University,KOR,Seoul
243,Kyung Hee University,KOR,Seoul
244,Seoul National University,KOR,Seoul
245,Ulsan National Institute of Science and Technology,KOR,Ulsan
246,Korea University,KOR,Seoul
247,Korea Advanced Institute of Science and Technology (KAIST),KOR,Daejeon
248,Chung-Ang University,KOR,Seoul
249,Sungkyunkwan University (SKKU),KOR,Seoul
250,Kyungpook National University,KOR,Daegu
251,Sogang University,KOR,Seoul
252,Yonsei University (Seoul campus),KOR,Seoul
253,Hanyang University,KOR,Seoul
254,University of Ulsan,KOR,Ulsan
255,Pusan National University,KOR,Busan
256,Seoul National University of Science and Technology (SeoulTech),KOR,Seoul
257,Konkuk University,KOR,Seoul
258,Chonbuk National University,KOR,Jeollabuk-do
259,Inha University,KOR,Incheon
260,Chonnam National University,KOR,Gwangju
261,Chungnam National University,KOR,Daejeon
262,University of Pretoria,ZAF,Gauteng
263,Stellenbosch University,ZAF,Western Cape
264,University of Cape Town,ZAF,Western Cape
265,University of the Witwatersrand,ZAF,Gauteng
266,University of KwaZulu-Natal,ZAF,KwaZulu-Natal
267,University of Johannesburg,ZAF,Gauteng
268,University of South Africa,ZAF,Gauteng
269,University of Maribor,SVN,Upravna enota Maribor
270,University of Ljubljana,SVN,Ljubljana
271,Technical University of Košice,SVK,Košický kraj
272,Slovak University of Technology in Bratislava,SVK,Bratislavský kraj
273,"Nanyang Technological University, Singapore",SGP,Bratislavský kraj
274,National University of Singapore,SGP,Bratislavský kraj
275,University of Belgrade,SRB,Bratislavský kraj
276,King Abdulaziz University,SAU,Makkah Province
277,King Saud University,SAU,Riyadh Province
278,ITMO University,RUS,Riyadh Province
279,Moscow Institute of Physics and Technology,RUS,Moskovskaya oblast'
280,Peter the Great St Petersburg Polytechnic University,RUS,Moskovskaya oblast'
281,Higher School of Economics,RUS,Moskovskaya oblast'
282,Saint Petersburg State University,RUS,Moskovskaya oblast'
283,National Research Nuclear University MEPhI,RUS,Moskovskaya oblast'
284,Novosibirsk State Technical University,RUS,Novosibirskaya oblast'
285,Lomonosov Moscow State University,RUS,Novosibirskaya oblast'
286,Tomsk Polytechnic University,RUS,Tomskaya oblast'
287,Samara University,RUS,Samarskaya oblast'
288,Ural Federal University,RUS,Sverdlovskaya oblast'
289,St Petersburg Electrotechnical University (LETI),RUS,Sverdlovskaya oblast'
290,Southern Federal University,RUS,Rostovskaya oblast'
291,Bauman Moscow State Technical University,RUS,Rostovskaya oblast'
292,Tomsk State University,RUS,Tomskaya oblast'
293,Novosibirsk State University,RUS,Novosibirsk Oblast
294,Qatar University,QAT,Novosibirsk Oblast
295,University of Beira Interior,PRT,Castelo Branco
296,University of Coimbra,PRT,Coimbra
297,University of Lisbon,PRT,Lisboa
298,University of Porto,PRT,Porto
299,ISCTE-University Institute of Lisbon,PRT,Lisboa
300,University of Minho,PRT,Braga
301,University of Warsaw,POL,mazowieckie
302,Warsaw University of Technology,POL,mazowieckie
303,Wrocław University of Science and Technology,POL,Województwo dolnośląskie
304,AGH University of Science and Technology,POL,małopolskie
305,Gdańsk University of Technology,POL,pomorskie
306,Jagiellonian University,POL,małopolskie
307,Łodz University of Technology,POL,województwo łódzkie
308,University of the Philippines,PHL,Metro Manila
309,COMSATS University Islamabad,PAK,Islamabad Capital Territory
310,National University of Sciences and Technology,PAK,Sindh
311,University of Oslo,NOR,Oslo
312,University of Bergen,NOR,Hordaland
313,Norwegian University of Science and Technology,NOR,Trøndelag
314,Victoria University of Wellington,NZL,Wellington
315,University of Auckland,NZL,Auckland
316,University of Canterbury,NZL,Canterbury
317,University of Otago,NZL,Otago
318,Auckland University of Technology,NZL,Auckland
319,University of Amsterdam,NLD,North Holland
320,University of Groningen,NLD,Groningen
321,University of Twente,NLD,Overijssel
322,Radboud University Nijmegen,NLD,Gelderland
323,Eindhoven University of Technology,NLD,North Brabant
324,Vrije Universiteit Amsterdam,NLD,Noord-Holland
325,Delft University of Technology,NLD,Zuid-Holland
326,Maastricht University,NLD,Limburg
327,Utrecht University,NLD,Utrecht
328,Sidi Mohamed Ben Abdellah University,MAR,Fez-Meknès
329,Mohammed V University of Rabat,MAR,Rabat-Salé-Kénitra
330,Université Hassan II de Casablanca,MAR,Casablanca-Settat
331,Monterrey Institute of Technology,MEX,Nuevo León
332,Universidad Nacional Autónoma de México,MEX,Mexico City
333,University of Malaya,MYS,Wilayah Persekutuan Kuala Lumpur
334,Universiti Teknologi Petronas,MYS,Perak
335,Universiti Tenaga Nasional (UNITEN),MYS,Selangor
336,"University of Science, Malaysia",MYS,Penang
337,Universiti Teknologi Malaysia,MYS,Johor
338,Universiti Kebangsaan Malaysia,MYS,Selangor
339,Universiti Putra Malaysia,MYS,Selangor
340,Universiti Teknologi MARA,MYS,Selangor
341,Universiti Utara Malaysia,MYS,Kedah
342,University of Macau,MAC,Kedah
343,University of Luxembourg,LUX,District de Luxembourg
344,Kaunas University of Technology,LTU,Kauno apskritis
345,American University of Beirut,LBN,Beirut Governorate
346,Riga Technical University,LVA,Beirut Governorate
347,Kuwait University,KWT,Al Asimah Governate
348,Jordan University of Science and Technology,JOR,Irbid Governorate
349,The University of Aizu,JPN,福島県
350,The University of Tokyo,JPN,Tōkyō-to
351,Tokyo Metropolitan University,JPN,Tokyo
352,Nagoya University,JPN,Aichi
353,Tohoku University,JPN,Miyagi
354,Hosei University,JPN,Tōkyō-to
355,Kyoto University,JPN,Kyoto
356,Kyushu University,JPN,Fukuoka
357,Osaka University,JPN,Osaka
358,Waseda University,JPN,Tokyo
359,Tokyo University of Science,JPN,Tokyo
360,Hokkaido University,JPN,Hokkaido
361,Hiroshima University,JPN,Hiroshima
362,Tokyo University of Agriculture and Technology,JPN,Tōkyō-to
363,Shizuoka University,JPN,Shizuoka
364,Kobe University,JPN,Hyogo
365,Toyohashi University of Technology (TUT),JPN,Aichi
366,University of Tsukuba,JPN,Ibaraki
367,The University of Electro-Communications,JPN,Tōkyō-to
368,Meiji University,JPN,Tōkyō-to
369,Yokohama National University,JPN,Kanagawa
370,Keio University,JPN,Tōkyō-to
371,Chiba University,JPN,Chiba
372,Ritsumeikan University,JPN,Kyoto
373,Shibaura Institute of Technology Tokyo,JPN,Tōkyō-to
374,Kansai University,JPN,Osaka
375,Hokkaido Tokai University,JPN,Hokkaido
376,Tokyo Denki University,JPN,Tokyo
377,Kyoto Institute of Technology,JPN,Kyoto
378,Free University of Bozen-Bolzano,ITA,Trentino-Alto Adige
379,University of Trento,ITA,Trentino-Alto Adige
380,University of Perugia,ITA,Umbria
382,University of Naples Federico II,ITA,Campania
383,University of Cagliari,ITA,Sardegna
384,Sant’Anna School of Advanced Studies – Pisa,ITA,Toscana
385,University of Calabria,ITA,Calabria
386,University of Bologna,ITA,Emilia-Romagna
387,University of Salerno,ITA,Campania
388,University of Modena and Reggio Emilia,ITA,Emilia-Romagna
389,University of Padua,ITA,Veneto
390,Sapienza University of Rome,ITA,Lazio
391,University of Pisa,ITA,Toscana
392,University of Parma,ITA,Emilia-Romagna
393,University of Ferrara,ITA,Emilia-Romagna
394,University of Turin,ITA,Piemonte
395,University of Milan-Bicocca,ITA,Lombardia
396,University of Florence,ITA,Toscana
397,Verona University,ITA,Veneto
398,Polytechnic University of Milan,ITA,Lombardia
399,University of Bari Aldo Moro,ITA,Puglia
400,University of Genoa,ITA,Liguria
401,University of Pavia,ITA,Lombardia
402,University of Salento,ITA,Puglia
403,University of Siena,ITA,Toscana
404,University of Milan,ITA,Lombardia
405,University of Udine,ITA,Friuli-Venezia Giulia
406,Hebrew University of Jerusalem,ISR,Friuli-Venezia Giulia
407,Tel Aviv University,ISR,Tel Aviv District
408,Bar-Ilan University,ISR,Tel Aviv District
409,Technion – Israel Institute of Technology,ISR,Haifa District
410,Ben-Gurion University of the Negev,ISR,מחוז הדרום
411,University of Haifa,ISR,Haifa District
412,Dublin City University,IRL,County Dublin
413,"National University of Ireland, Galway",IRL,County Galway
414,University College Dublin,IRL,County Dublin
415,Trinity College Dublin,IRL,County Dublin
416,University of Limerick,IRL,County Limerick
417,University College Cork,IRL,County Cork
418,Isfahan University of Technology,IRN,Isfahan Province
419,University of Tabriz,IRN,East Azerbaijan Province
420,University of Tehran,IRN,East Azerbaijan Province
421,Shiraz University,IRN,East Azerbaijan Province
422,Shahid Beheshti University,IRN,Tehran Province
423,Amirkabir University of Technology,IRN,Tehran Province
424,Ferdowsi University of Mashhad,IRN,استان خراسان رضوی
425,K.N. Toosi University of Technology,IRN,Tehran Province
426,University of Isfahan,IRN,Isfahan Province
427,Sepuluh Nopember Institute of Technology,IDN,Jawa Timur
428,University of Indonesia,IDN,Jawa Barat
429,Bandung Institute of Technology (ITB),IDN,Jawa Barat
430,Thapar University,IND,Punjab
431,Indian Institute of Technology Roorkee,IND,Uttarakhand
432,Indian Institute of Technology Kharagpur,IND,West Bengal
433,Indian Institute of Technology Kanpur,IND,Uttar Pradesh
434,Panjab University,IND,Chandigarh
435,Osmania University,IND,Telangana
436,Indian Institute of Science,IND,Karnataka
437,Indian Institute of Technology Hyderabad,IND,Telangana
438,Indian Institute of Technology Bombay,IND,Maharashtra
439,Pondicherry University,IND,Puducherry
440,Indian Institute of Technology Guwahati,IND,Assam
441,VIT University,IND,Tamil Nadu
442,Manipal Academy of Higher Education,IND,Karnataka
443,Banaras Hindu University,IND,Uttar Pradesh
444,KIIT University,IND,Odisha
445,University of Delhi,IND,Delhi
446,Amity University,IND,Uttar Pradesh
447,Indian Institute of Technology Madras,IND,Tamil Nadu
448,"National Institute of Technology, Tiruchirappalli",IND,Tamil Nadu
449,SRM Institute of Science and Technology,IND,Tamil Nadu
450,Eötvös Loránd University,HUN,Tamil Nadu
451,Chinese University of Hong Kong,HKG,New Territories
452,The Hong Kong University of Science and Technology,HKG,New Territories
453,Hong Kong Baptist University,HKG,Kowloon
454,Hong Kong Polytechnic University,HKG,Kowloon
455,City University of Hong Kong,HKG,Kowloon
456,University of Hong Kong,HKG,Hong Kong Island
457,University of the Aegean,GRC,Hong Kong Island
458,Athens University of Economics and Business,GRC,Hong Kong Island
459,University of Crete,GRC,Hong Kong Island
460,Aristotle University of Thessaloniki,GRC,Hong Kong Island
461,University of Patras,GRC,Hong Kong Island
462,National and Kapodistrian University of Athens,GRC,Hong Kong Island
463,University of Ioannina,GRC,Hong Kong Island
464,University of Freiburg,DEU,Baden-Württemberg
465,University of Passau,DEU,Bayern
466,Heidelberg University,DEU,Baden-Württemberg
467,University of Mannheim,DEU,Baden-Württemberg
468,Ruhr University Bochum,DEU,Nordrhein-Westfalen
469,Technical University of Munich,DEU,Bayern
470,University of Tübingen,DEU,Baden-Württemberg
471,Karlsruhe Institute of Technology,DEU,Baden-Württemberg
472,Technical University of Darmstadt,DEU,Hessen
473,University of Potsdam,DEU,Brandenburg
474,University of Erlangen-Nuremberg,DEU,Bayern
475,LMU Munich,DEU,Bavaria
476,University of Konstanz,DEU,Baden-Württemberg
477,University of Göttingen,DEU,Niedersachsen
478,RWTH Aachen University,DEU,Nordrhein-Westfalen
479,University of Würzburg,DEU,Bayern
480,University of Stuttgart,DEU,Baden-Württemberg
481,Technical University of Berlin,DEU,Berlin
482,Ulm University,DEU,Baden-Württemberg
483,University of Duisburg-Essen,DEU,Nordrhein-Westfalen
484,TU Dresden,DEU,Saxony
485,University of Münster,DEU,Nordrhein-Westfalen
486,University of Bremen,DEU,Bremen
487,Humboldt University of Berlin,DEU,Berlin
488,University of Kaiserslautern,DEU,Rheinland-Pfalz
489,Technical University of Dortmund,DEU,Nordrhein-Westfalen
490,University of Hamburg,DEU,Hamburg
491,Leibniz University Hanover,DEU,Niedersachsen
492,Bielefeld University,DEU,Nordrhein-Westfalen
493,Free University of Berlin,DEU,Berlin
494,Otto von Guericke University of Magdeburg,DEU,Sachsen-Anhalt
495,Goethe University Frankfurt,DEU,Hesse
496,University of Kiel,DEU,Schleswig-Holstein
497,Ilmenau University of Technology,DEU,Thüringen
498,Chemnitz University of Technology,DEU,Sachsen
499,Paris Sciences et Lettres – PSL Research University Paris,FRA,Île-de-France
500,École normale supérieure de Lyon,FRA,Auvergne-Rhône-Alpes
501,École Polytechnique,FRA,Île-de-France
502,Paris-Sud University,FRA,Île-de-France
503,Centrale Nantes,FRA,Pays de la Loire
504,University of Strasbourg,FRA,Grand Est
505,Paris Diderot University – Paris 7,FRA,Île-de-France
506,Sorbonne University,FRA,Île-de-France
507,Grenoble Alpes University,FRA,Auvergne-Rhône-Alpes
508,University of Rennes 1,FRA,Bretagne
509,IMT Atlantique,FRA,Pays de la Loire
510,University of Lille,FRA,Hauts-de-France
511,University of Lorraine,FRA,Grand Est
512,University of Côte d’Azur,FRA,Provence-Alpes-Côte d'Azur
513,Federal University of Toulouse Midi-Pyrénées,FRA,Occitanie
514,École normale supérieure Paris-Saclay,FRA,Île-de-France
515,Normandy University,FRA,Normandie
516,Claude Bernard University Lyon 1,FRA,Auvergne-Rhône-Alpes
517,University of Bordeaux,FRA,Nouvelle-Aquitaine
518,Montpellier University,FRA,Occitanie
519,Université Bourgogne Franche-Comté (UBFC),FRA,Bourgogne-Franche-Comté
520,Aix-Marseille University,FRA,Provence-Alpes-Côte d'Azur
521,Université de Versailles Saint-Quentin-en-Yvelines,FRA,Île-de-France
522,University of Clermont Auvergne,FRA,Auvergne-Rhône-Alpes
523,University of Oulu,FIN,Auvergne-Rhône-Alpes
524,Aalto University,FIN,Auvergne-Rhône-Alpes
525,University of Helsinki,FIN,Auvergne-Rhône-Alpes
526,University of Eastern Finland,FIN,Auvergne-Rhône-Alpes
527,Tampere University of Technology,FIN,Auvergne-Rhône-Alpes
528,University of Turku,FIN,Auvergne-Rhône-Alpes
529,University of Tampere,FIN,Auvergne-Rhône-Alpes
530,University of Jyväskylä,FIN,Auvergne-Rhône-Alpes
531,University of Tartu,EST,Tartu maakond
532,Tallinn University of Technology,EST,Harju maakond
533,Cairo University,EGY,Giza Governorate
534,Alexandria University,EGY,Alexandria Governorate
535,Menoufia University,EGY,
536,Ain Shams University,EGY,Cairo Governorate
537,Aalborg University,DNK,Cairo Governorate
538,Technical University of Denmark,DNK,Cairo Governorate
539,University of Southern Denmark,DNK,Cairo Governorate
540,Brno University of Technology,CZE,Jihomoravský kraj
541,Czech Technical University in Prague,CZE,Hlavní město Praha
542,Masaryk University,CZE,Jihomoravský kraj
543,VŠB - Technical University of Ostrava,CZE,Moravskoslezský kraj
544,Charles University in Prague,CZE,Hlavní město Praha
545,University of Cyprus,CYP,Nicosia
546,University of Zagreb,HRV,Nicosia
547,"University of the Andes, Colombia",COL,Cundinamarca
548,National University of Colombia,COL,Bogotá
549,Nanjing University of Information Science and Technology,CHN,Bogotá
550,Yangzhou University,CHN,Jiangsu
551,Tsinghua University,CHN,Beijing Shi
552,Peking University,CHN,Beijing Shi
553,University of Science and Technology of China,CHN,Anhui Sheng
554,Shenzhen University,CHN,Guangdong Sheng
555,Nanjing Normal University,CHN,Jiangsu Sheng
556,Xi’an Jiaotong University,CHN,Shaanxi Sheng
557,Central South University,CHN,Hunan Sheng
558,Sun Yat-sen University,CHN,Guangdong Sheng
559,Southeast University,BGD,Dhaka Division
560,Xiangtan University,CHN,Hunan
561,Huazhong University of Science and Technology,CHN,Hubei Sheng
562,Shanghai Jiao Tong University,CHN,Shanghai Shi
563,Nanjing University,CHN,Jiangsu Sheng
564,Dalian University of Technology,CHN,Liaoning Sheng
565,Harbin Institute of Technology,CHN,Heilongjiang Sheng
566,Zhejiang University,CHN,Zhejiang Sheng
567,Fudan University,CHN,Shanghai Shi
568,University of Science and Technology Beijing,CHN,Beijing Shi
569,Nankai University,CHN,Tianjin Shi
570,Sichuan University,CHN,Sichuan
571,Renmin University of China,CHN,Beijing Shi
572,Xidian University,CHN,Shaanxi
573,Hunan University,CHN,Hunan Sheng
574,South China University of Technology,CHN,Guangdong Sheng
575,Tongji University,CHN,Shanghai Shi
576,Northwestern Polytechnical University,CHN,Shaanxi Sheng
577,China University of Mining and Technology,CHN,Beijing Shi
578,Xiamen University,CHN,Fujian Sheng
579,"China University of Geosciences, Wuhan",CHN,Hubei Sheng
580,East China Normal University,CHN,Shanghai Shi
581,Beihang University,CHN,Beijing Shi
582,Southwest Jiaotong University,CHN,Sichuan Sheng
583,Tianjin University,CHN,Tianjin
584,Beijing Jiaotong University,CHN,Beijing Shi
585,Wuhan University,CHN,Hubei
586,Shanghai Maritime University,CHN,Shanghai Shi
587,Huaqiao University,CHN,Shanghai Shi
588,Chongqing University,CHN,Chongqing Shi
589,Shandong University,CHN,Shandong
590,Beijing Institute of Technology,CHN,Beijing Shi
591,Jinan University,CHN,Guangdong Sheng
592,Shanghai University,CHN,Shanghai Shi
593,Soochow University,CHN,Jiangsu Sheng
594,Harbin Engineering University,CHN,Heilongjiang Sheng
595,"Northeastern University, Shenyang, China",CHN,Liaoning Sheng
596,Ocean University of China,CHN,Shandong Sheng
597,Jiangsu University,CHN,Jiangsu Sheng
598,Fuzhou University,CHN,Fujian Sheng
599,Guangxi University,CHN,Guangxi Zhuangzuzizhiqu
600,"Northwest University, Xi'an City, China",CHN,Guangxi Zhuangzuzizhiqu
601,Yanshan University,CHN,Hebei Sheng
602,Jilin University,CHN,Jilin Sheng
603,Wuhan University of Technology,CHN,Hubei Sheng
604,Pontifical Catholic University of Chile,CHL,Región Metropolitana
605,University of Chile,CHL,Región Metropolitana
606,"Universidad Técnica ""Federico Santa María""",CHL,Región de Valparaíso
607,University of Toronto,CAN,Ontario
608,University of Montreal,CAN,Québec
609,University of British Columbia,CAN,British Columbia
610,McMaster University,CAN,Ontario
611,University of Waterloo,CAN,Ontario
612,Université de Sherbrooke,CAN,Québec
613,University of Alberta,CAN,Alberta
614,McGill University,CAN,Québec
615,Simon Fraser University,CAN,British Columbia
616,University of Windsor,CAN,Ontario
617,University of Victoria,CAN,British Columbia
618,Carleton University,CAN,Ontario
619,University of Ottawa,CAN,Ontario
620,Université du Québec,CAN,Québec
621,Queen’s University,CAN,Ontario
622,Concordia University,CAN,Québec
623,University of Saskatchewan,CAN,Saskatchewan
624,Laval University,CAN,Québec
625,University of Calgary,CAN,Alberta
